,titles,lyrics
0,Ditto,"['아침은 너무 멀어', '훌쩍 커버렸어', '함께한 기억처럼', '널 보는 내 마음은', '어느새 여름 지나 가을', '날 보고 웃었지만', '내 길었던 하루', '난 보고 싶어', '널 좋아한다고', '아침은 너무 멀어', '다 아는 건 아니어도', '바라던 대로', '너를 상상했지', '항상 닿아있던', '처음 느낌 그대로 난', '널 좋아한다고', '아침은 너무 멀어', '다 아는 건 아니어도', '바라던 대로']"
1,사건의 지평선,"['생각이 많은 건 말이야', '당연히 해야 할 일이야', '나에겐 우리가 지금 1순위야', '안전한 유리병을 핑계로', '바람을 가둬 둔 것 같지만', '기억나? 그날의 우리가', '잡았던 그 손엔 말이야', '설레임보다 커다란 믿음이 담겨서', '난 함박웃음을 지었지만', '울음이 날 것도 같았어', '소중한 건 언제나 두려움이니까', '문을 열면 들리던 목소리', '너로 인해 변해있던 따뜻한 공기', '여전히 자신 없지만 안녕히', '저기, 사라진 별의 자리', '아스라이 하얀 빛', '한동안은 꺼내 볼 수 있을 거야', '아낌없이 반짝인 시간은', '조금씩 옅어져 가더라도', '너와 내 맘에 살아 숨 쉴 테니', '여긴, 서로의 끝이 아닌', '새로운 길 모퉁이', '익숙함에 진심을 속이지 말자', '하나 둘 추억이 떠오르면', '많이 많이 그리워할 거야', '고마웠어요 그래도 이제는', '사건의 지평선 너머로', '솔직히 두렵기도 하지만', '노력은 우리에게 정답이 아니라서', '마지막 선물은 산뜻한 안녕', '저기, 사라진 별의 자리', '아스라이 하얀 빛', '한동안은 꺼내 볼 수 있을 거야', '아낌없이 반짝인 시간은', '조금씩 옅어져 가더라도', '너와 내 맘에 살아 숨 쉴 테니', '여긴, 서로의 끝이 아닌', '새로운 길 모퉁이', '익숙함에 진심을 속이지 말자', '하나 둘 추억이 떠오르면', '많이 많이 그리워할 거야', '고마웠어요 그래도 이제는', '사건의 지평선 너머로', '저기, 사라진 별의 자리', '아스라이 하얀 빛', '한동안은 꺼내 볼 수 있을 거야', '아낌없이 반짝인 시간은', '조금씩 옅어져 가더라도', '너와 내 맘에 살아 숨 쉴 테니', '여긴, 서로의 끝이 아닌', '새로운 길 모퉁이', '익숙함에 진심을 속이지 말자', '하나 둘 추억이 떠오르면', '많이 많이 그리워할 거야', '고마웠어요 그래도 이제는', '사건의 지평선 너머로', '사건의 지평선 너머로']"
2,Hype boy,"['(1,2,3,4)', '너도 말해줄래', '누가 내게 뭐라든', '남들과는 달라 넌', '날 믿어봐 한번', '재미없어 어쩌지', '내 지난날들은', '눈 뜨면 잊는 꿈', '눈을 감아', '잠에 들려고 잠에 들려 해도', '봐봐 여기 내 이름 써있다고', '누가 내게 뭐라든', '남들과는 달라 넌', '날 믿어봐 한번', '재미없어 어쩌지', '내 지난날들은', '눈 뜨면 잊는 꿈', '눈을 감아']"
3,ANTIFRAGILE,"['가렵지도 않아', '내 뒤에 말들이 많아', '무슨 말이 더 필요해', '무시 마 내가 걸어온 커리어', '더 높이 가줄게', '내가 바랐던 세계 젤 위에', '떨어져도 돼', '멋대로 정하네 나란 애에 대해', '뜨거운 관심은 환영', '내 미랠 쓸 나의 노래', '무슨 말이 더 필요해', '무시 마 내가 걸어온 커리어', '더 높이 가줄게', '내가 바랐던 세계 젤 위에', '떨어져도 돼', '더 높이 가줄게', '내가 바랐던 세계 젤 위에', '떨어져도 돼']"
4,NOT SORRY (Feat. pH-1) (Prod. by Slom),"['미안해', '하나도 하나도', '아무것도 미안하지가 않아서', '엄마 나 힙합 관둘게', '혼자서만 도태된 것 같애', '다들 폭죽 터트리고 벌려 축제', '진심은 전부 곡해돼', '사랑은 왜곡돼', '모든 게 다 쉽게 변해 플라스틱 같애', '철없긴 똑같지', '다 곁눈질 뿐', '원리원칙에 갇힌', '빈 깡통 덩어리 이리저리 굴러', '온 세상을 휙 뒤집어 놓지', '""스타일 바꿔 마인드 바꿔', '이참에 챙겨 눈치도""', '""다리 떨지 말고 살 좀 빼', '동네 창피스러워""', '""어깨 힘은 좀 빼""', '""어차피 니가 뱉는 구절 전부', '힙합 아니니까 밥그릇 치워""', '우리 엄마 말도 잘 안 듣던 내가', '니 말은 왜?', '차례대로 퇴장해 난 아냐', '네 오마카세', '머릿속엔 언제나', '철없게 살아도', '어쩌겠어', '미안해', '하나도 하나도', '아무것도', '미안하지가 않아서', '잘 웃으니까 내가', '참 바보 같나 봐', '나에 대해서 잘 알지도 못하면서', '뭐라도 되는 줄 아나 봐', '하지만 그건 너의 착각', '나 물어볼 게 있어', '삿대질 자격 어딨어', '날 가르쳐 들려 하지 마', '넌 왈가왈부', '할 짓 없이 그냥 말만 많구', '제발 좀 그만 나와""', '""노래도 못하면서 싱잉 하는', '복면가왕""', '""자극적이지 않아,', '괜찮아, 난 모든 일에', '내 진심을 담아', '내 무기는 두 귀를 닫은 채', '눈치 안 보기', '쉬워 보이면 너가 해봐', '적당히 맞추면서 살아가', '일일이 다 설명하기엔 내 입이 아파', '내 앞가림하기에도 난 충분히 바빠', '난 나를 속여가면서', '바뀌고 싶진 않아', '너 아니어도', '날 사랑해 주는 사람들 많아', '머릿속엔 언제나', '철없게 살아도', '어쩌겠어', '미안해', '하나도 하나도', '아무것도', '미안하지가 않아서', '그저 나답게 살아가고픈 것뿐', '내 나이 21', '길 잃은 청춘이지만', '그게 내 길이고', '우린 반의 반쪽짜리 육체를 다듬어', '당당히 날 몰아붙인', '위선과 거짓 다 깔고 기립해', '막연히 끄덕이고 조아리긴', '죽기보다 싫으니', '머릿속엔 언제나', '철없게 살아도', '어쩌겠어', '미안해', '하나도 하나도', '아무것도', '미안하지가 않아서', '미안해', '하나도 하나도', '아무것도', '미안하지가 않아서']"
5,Candy,"['사실은 오늘 너와의', '만남을 정리하고 싶어', '널 만날 거야 이런 날 이해해', '어렵게 맘 정한 거라', '네게 말할 거지만', '사실 오늘 아침에', '그냥 나 생각한 거야', '햇살에 일어나 보니', '너무나 눈부셔', '모든 게 다 변한 거야', '널 향한 마음도', '그렇지만 널 사랑 않는 게 아냐', '이제는 나를 변화시킬 테니까', '너 몰래 몰래 몰래', '다른 여자들과 비교 비교했지', '자꾸만 깨어지는 환상 속에', '혼자서 울고 있는', '초라하게 갇혀버린 나를 보았어', '하지만 아직까지 사랑하는 걸', '그래 그렇지만 내 맘속에', '너를 잊어갈 거야', '머리 위로 비친', '내 하늘 바라다보며', '널 향한 마음을 이제는 굳혔지만', '웬일인지 네게 더 다가갈수록', '우린 같은 하늘 아래 서 있었지', '단지 널 사랑해 이렇게 말했지', '이제껏 준비했던', '많은 말을 뒤로한 채', '언제나 니 옆에 있을게', '이렇게 약속을 하겠어', '저 하늘을 바라다보며', '내게 하늘이 열려있어', '그래그래 너는 내 앞에 서 있고', '그래 다른 연인들은 키스를 해', '하지만 항상 나는', '너의 뒤에 있어야만 해', '이제 그만해 나도 남잔데', '내 마음 너도 알고 있는 걸 알아', '그래 이제 나도 지쳐서', '하늘만 바라볼 수밖에', '내게 하늘이 열려있어', '그래그래 너는 내 앞에 서 있고', '그래 다른 연인들은 키스를 해', '왜 난 너의 뒤에 있어야 할까', '햇살에 일어나 보니', '너무나 눈부셔', '모든 게 다 변한 거야', '널 향한 마음도', '그렇지만 널 사랑 않는 게 아냐', '이제는 나를 변화시킬 테니까', '머리 위로 비친', '내 하늘 바라다보며', '널 향한 마음을 이제는 굳혔지만', '웬일인지 네게 더 다가갈수록', '우린 같은 하늘 아래 서 있었지', '단지 널 사랑해 이렇게 말했지', '이제껏 준비했던', '많은 말을 뒤로한 채', '언제나 니 옆에 있을게', '이렇게 약속을 하겠어', '저 하늘을 바라보며', '한 번 더 한 번 더 말했지', '이제껏 준비했던', '많은 말을 뒤로한 채', '(준비했던 많은 말을 뒤로한 채', '다시 널 사랑한다고 했지)', '언제나 니 옆에 있을게', '다신 너 혼자 아냐', '너의 곁엔 내가 있잖아']"
6,마이웨이 (MY WAY) (Prod. R.Tee),"['니가 나의 모든 걸 뺏어갔어도', '모두가 내 꿈에 바리케이드를 쳐도', '내가 나의 기름 더 불을 붙여줘', '니가 나의 모든 걸 뺏어갔어도', '모두가 내 꿈에 바리케이드를 쳐도', '내가 나의 기름 더 불을 붙여줘', '난생처음 섰던 무대엔', '낯선 얼굴 쟤 누군데?', '마이크 잡은 후엔 함', '더 묻대 쟤 누구래?', '끝내고 내려오는 기분이', '이걸 하는 가장 큰 이유 중에', '하나 앉아서 잘 봐', '서있어 무대 알아봐라 그러니', '날 부르니 또 오르지', '내 걸음이 밑 거름이,', '좋은 버릇이 든', '어린이는 돼 어른이 아닌', '얼음을 목에 걸은 애', '이빨을 드러낼 때야 씩', '반짝 허리에 감겨있는 벨트', '감쪽같은 마술은 마법이네', '밤마다 반복해서 주문을 외워', '삶을 원하다면 죽음을 배워', '난 또 빛이 나는 길 위에', '남겨져 흉터로 베여있어', '어렸을 땐 행복과는 제일 멀 던 놈', '내게 친구 옆에 있어도', '빈자린 언제나 괴롭혀', '그때의 난 어렸었네', '무시에 짓눌렸기에', '압박 속에 피어났네', '난 원해 맨 위', '그대로 더 행진', '난 원해 내일엔', '더 재수 없는 놈이 되길 바라', '됐어 타이밍', '이젠 내 형제들과 밟어', '니가 나의 모든 걸 뺏어갔어도', '모두가 내 꿈에 바리케이드를 쳐도', '내가 나의 기름 더 불을 붙여줘', '내가 나의 기름 더 불을 붙여줘', '난 여기다 내 목을 걸었어', '다시 예전으로 돌아갈 수 없어', '힘들던 그땐 신이 미웠지만', '이젠 신의 계획이 뭔지 알게 됐어', '아팠던 기억들은 던져', '친구 미안한데 이건 내가 먼저', '챙겨가야겠어', '난 아직도 갈 길이 멀어', '그렇기에 난', '포기 안 할 거라 말했고', '넘어져도 일어나 계속', '내 시작은 맨손', '반찬 팔아가며', '청춘 받쳐 날 키워준', '값진 그녀의 행복', '나 땜에 잠시 내려놨던 그 행복을', '이 손자가 돌려줄게 꼭', '난 내 놈들과 하나둘씩', '이뤄가 점점 끝없이', '우린 절대 안 져 계속 보여주지', '절대 안 될 거 같던', '꿈들을 이뤄 난 여기 있지', '아팠던 날 들을', '저 뒤로 보내고 웃자고 원 없이', '바란 대로 이뤄질 거', '같은 말은 못 믿어', '못 믿어 이제', '믿었었는데', '난 간절히 바랐던', '희망한테 배신당했거든', '근데 절망에 추락할 때도', '보여 날개를 폈던 당신의 모습', '이제 내 날갯짓을 봐줘 (날 봐줘)', '내 아버지는 꿈꾸는 걸 멈추지', '않았거든 마지막 통화를 끊고서', '그렇게 세상이 무너졌어', '나는 포기 안 해 아빨 너무 닮고', '끝까지 대가 받아내고 말 거야', '그 멀리서 나를 지켜 지켜보면 돼', '그렇게 고통까지 외운 채', '잃을 것도 없어 잃은 것뿐', '난 다 채울래', '그래 난 더 나아가야 돼', '날 보는 널 위해', '멈출 수 없어 잃어버린 걸', '되찾을 거야 비록', '니가 나의 모든 걸 뺏어갔어도', '모두가 내 꿈에 바리케이드를 쳐도', '내가 나의 기름 더 불을 붙여줘', '내가 나의 기름 더 불을 붙여줘', '어릴 때 난 어렸지', '넌 기회를 또 놓쳐버렸지', '난 또 목숨을 걸었지', '매 순간이 난 버저비터', '빛이 나니까 좀 꺼져있어', '내가 먹고 나면 너희는 설거지', '여전히 카니발 바뀐 건 회사', '똑같이 하고픈 걸로 난 해 밥값 아니', '해 차 값 아니 해 집값 아니', '해 동생 밥 계산', '키비형이 사주시면', '스무 살이 이제 형이 되고 나니까', '움직여 바삐', '방해물은 다 까버려', '당신 내 삶을 살아줄 거 아니면', '니가 나의 모든 걸 뺏어갔어도', '모두가 내 꿈에 바리케이드를 쳐도', '내가 나의 기름 더 불을 붙여줘', '내가 나의 기름 더 불을 붙여줘', '있는 그대로의 나를 받아줘', '아직 완벽하지는 않아도', '내일은 당연한 게 아니라서', '지금 아빠가 곁에 없더라도', '눈물 닦고 어깨 펴고 다녀', '항상 네 편이란 걸 잊지 마', '부모님은 당했지 인종차별', '얻은 것보다 잃은 게 많아서', '내 랩의 가치는 달라', '다 해봤어 성공이랑 죽음 빼고 난', '승산은 나에게 없었잖아', '밤마다 악마가 찾아와 하지만 난', '이제 겁나지 않아', '니가 나의 모든 걸 뺏어갔어도', '모두가 내 꿈에 바리케이드를 쳐도', '내가 나의 기름 더 불을 붙여줘', '내가 나의 기름 더 불을 붙여줘']"
7,After LIKE,"['또 모르지 내 마음이', '저 날씨처럼 바뀔지', '날 나조차 다 알 수 없으니', '그게 뭐가 중요하니', '지금 네게 완전히', '푹 빠졌단 게 중요한 거지', '아마 꿈만 같겠지만', '분명 꿈이 아니야', '달리 설명할 수 없는', '이건 사랑일 거야', '방금 내가 말한 감정', '감히 의심하지 마', '그냥 좋다는 게 아냐', '조심해 두 심장에 핀', '새파란 이 불꽃이', '저 태양보다 뜨거울 테니', '난 저 위로 또 아래로', '내 그래프는 폭이 커', '두 번 세 번 피곤하게', '자꾸 질문하지 마', '내 장점이 뭔지 알아?', '바로 솔직한 거야', '방금 내가 말한 감정', '감히 의심하지 마', '그냥 좋다는 게 아냐', '아무도 막지 못해', '나를 보면 눈 깜빡할', '시간 조차도 아까울 걸', '드디어 만나 반가워']"
8,Nxde,"['말투는 멍청한 듯 몸매는 섹시 섹시요', '그럼 다이아 박힌 티아라 하나에', '내가 퍽이나 웃게 퍽이나 웃게', '뒤틀려버린 로렐라이', '철학에 미친 독서광', '싸가지없는', '야유하는 관객들', '아 별빛이 깨져버린 밤', '꼴이 볼품없대도 망가진다 해도', '다신 사랑받지 못한대도', '아리따운 날 입고 따따랏따라', '아리따운 날 입고 따따랏따라', '실례합니다 여기 계신 모두', '야한 작품을 기대하셨다면', '환불은 저쪽 대중은 흥미 없는 정보', '그 팝콘을 던져도 덤덤', '행복과 반비례 평점', '편견은 토할 거 같지', '아 더 부끄러울 게 없는 밤', '꼴이 볼품없대도 어쩌면 네게도', '다신 사랑받지 못한대도', '아리따운 날 입고 따따랏따라', '아리따운 날 입고 따따랏따라', '까고 말해', '아리따운 나의 누드', '아름다운 나의 누드', '변태는 너야']"
9,Attention,"['내 맘이 보이지', '한참을 쳐다봐', '가까이 다가가', '용기가 생겼지', '이미 아는 네 눈치', '고개를 돌려 천천히', '여기', '여기 보이니', '확실하게 나로 만들겠어', '꿈에서 깨워주지 마', '가끔은 정말', '헷갈리지만', '분명한 건', '널 우연히 마주친 척할래', '못 본 척 지나갈래', '나와 나와 걸어가 줘', '지금 돌아서면', '널 보면 하트가 튀어나와', '내 맘은 설레이지', '꿈에서 깨워주지 마', '가끔은 정말', '헷갈리지만', '분명한 건', '가끔은 정말', '헷갈리지만', '분명한 건']"
10,새삥 (Prod. ZICO) (Feat. 호미들),"['기분이 째져', '잘 되면 셀럽', '못 되면 평생 리셀러', '나는 새삥', '모든 게 다 새삥', '보세 옷을 걸쳐도', '헌 집 주고 새집', '프리미엄이 붙어', '나는 새삥', '유명세를 걷어', '남의 멋만 쌔비지', '난 취향을 감춰 그래', '내 세컨 카는 수수께끼', '넘볼 수 없는 임금', '다시 ’코’시국', '암만 영끌해도 근본은 절대 못 사', '뚜까 패고파', '기분이 째져', '잘 되면 셀럽', '못 되면 평생 리셀러', '나는 새삥', '모든 게 다 새삥', '보세 옷을 걸쳐도', '헌 집 주고 새집', '프리미엄이 붙어', '아마 나는 오늘도', '이유는 뻔하지 새로운 옷이', '알어 니 위치는 겉만 하지 마', '이제 여름이 오니까 준비해', '내 목에다 채워질 아이스체인', '우리 엄만 생일마다', '새 가방이 생기지', '신기록 갱신', '우린 없어 배신', '나는 매일 새신', '책임을 가진 삶은 생각보다 괴로워', '내 옷은 새로워', '난 운전할 때마다 맨 앞이라 외로워', '내 옷들은 늘 새삥', '아무도 못 말려 나란 바닥노무 쉐낀', '안전모를 썼던', '기분이 째져', '잘 되면 셀럽', '못 되면 평생 리셀러', '나는 새삥', '모든 게 다 새삥', '보세 옷을 걸쳐도', '헌 집 주고 새집', '프리미엄이 붙어', '나는 새삥 모든 게 다 새삥']"
11,Snowman,[]
12,LOVE DIVE,"['네가 참 궁금해 그건 너도 마찬가지', '이거면 충분해 쫓고 쫓는 이런 놀이', '참을 수 없는 이끌림과 호기심', '묘한 너와 나 두고 보면 알겠지', '난 그 맘을 좀 봐야겠어', '서로를 비춘 밤', '아름다운 까만 눈빛 더 빠져 깊이', '(넌 내게로 난 네게로)', '마음은 이렇게 알다가도 모르지', '사랑이라는 건 한순간에 필 테니', '직접 들어와 두 눈으로 확인해', '내 맘 가장 깊은 데로 오면 돼', '원하면 감히 뛰어들어', '서로를 비춘 밤', '아름다운 까만 눈빛 더 빠져 깊이', '(넌 내게로 난 네게로)']"
13,All I Want for Christmas Is You,[]
14,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"['الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان']"
15,Monologue,"['다 잊었다는 거짓말', '또 해 버렸죠', '내 마음에 그대란 사람', '없다고 했죠', '너무나 쉽게 잊혀졌다고', '이젠 남이라고', '서툰 내 사랑에 지쳐 떠난 그대', '너무 많이 울려서', '잡을 용기조차 낼 수 없었죠', '미안해요 내 사랑아', '다신 나 같은 사람 만나지 마요', '혹시 찾아가도 두 번 다시', '나를 허락해 주지 마요', '그댄 여리고 너무 착해서', '싫단 말도 잘 못하는데', '많이 부족한 나를 사랑한 그대', '이거면 됐어요 더 이상은', '그대 불행하지 않도록', '나 이쯤에서 없어지는 게', '그댈 위한 나의 사랑인 걸요', '너무 투명해서 때론 불안했죠', '제멋대로 살아온 나를', '감당할 수 없을 것 같죠', '미안해요 내 사랑아', '다신 나 같은 사람 만나지 마요', '혹시 찾아가도 두 번 다시', '나를 허락해 주지 마요', '그댄 여리고 너무 착해서', '싫단 말도 잘 못하는데', '고마웠어요 나를 사랑해 줘서', '나 같은 사람이 두 번 다시', '감히 받을 수 없는 사랑', '그대 때문에 행복했어요', '울지 마요 그대', '잘 생각해 봐요', '나쁜 일들만 가득했던 우리', '다 잊어야 해요', '다신 나 같은 사람 만나지 마요', '혹시 찾아가도 두 번 다시', '나를 허락해 주지 마요', '그댄 여리고 너무 착해서', '싫단 말도 잘 못하는데', '많이 부족한 나를 사랑한 그대', '이거면 됐어요', '더 이상은 그대 불행하지 않도록', '나 이쯤에서 없어지는 게', '그댈 위한 나의 사랑인 걸요']"
16,Santa Tell Me,[]
17,Shut Down,"['컴백이 아냐 떠난 적 없으니까', '고개들이 돌아 진정해 목 꺾일라', '게임이 아냐 진 적이 없으니까', '짖어봐 네 목에 목줄은 내 거니까', '네 다음 답안지야 똑바로 봐']"
18,Rush Hour (Feat. j-hope of BTS),"['유엔빌리지에서 한강진역', '이태원을 지나왔어 언덕길로', '클랙슨은 목이 쉬어 퇴근길마다 삐걱삐걱', '그게 자그마치 2년', '입에 단내가 나 미칠 지경', '작업실로 당당하게 내비 찍어', '그러니까 너넨 히비히비합 질러 빽빽', '그러니까 너넨 히비히비합 질러 땍땍', '따라 해 어때 생각보다 쉽지', '서울숲에서부터 근방 직경', '사진 소리 찰칵찰칵 가는 길마다 찍어 찍어', '보험마저 없는 내 미래 비전', '그러니까 너넨 히비히비합 질러 빽빽 (빽빽)', '그러니까 너넨 히비히비합 질러 땍땍 (땍땍)', '따라 해 어때 생각보다 쉽지']"
