,lyric,label
0,생각이 많은 건 말이야,0
1,당연히 해야 할 일이야,1
2,나에겐 우리가 지금 1순위야,1
3,안전한 유리병을 핑계로,-1
4,바람을 가둬 둔 것 같지만,1
5,기억나? 그날의 우리가,1
6,잡았던 그 손엔 말이야,1
7,설레임보다 커다란 믿음이 담겨서,1
8,난 함박웃음을 지었지만,1
9,울음이 날 것도 같았어,-1
10,소중한 건 언제나 두려움이니까,-1
11,문을 열면 들리던 목소리,0
12,너로 인해 변해있던 따뜻한 공기,-1
13,여전히 자신 없지만 안녕히,-1
14,"저기, 사라진 별의 자리",1
15,아스라이 하얀 빛,1
16,한동안은 꺼내 볼 수 있을 거야,1
17,아낌없이 반짝인 시간은,1
18,조금씩 옅어져 가더라도,0
19,너와 내 맘에 살아 숨 쉴 테니,-1
20,"여긴, 서로의 끝이 아닌",-1
21,새로운 길 모퉁이,1
22,익숙함에 진심을 속이지 말자,0
23,하나 둘 추억이 떠오르면,1
24,많이 많이 그리워할 거야,-1
25,고마웠어요 그래도 이제는,1
26,사건의 지평선 너머로,-1
27,솔직히 두렵기도 하지만,1
28,노력은 우리에게 정답이 아니라서,1
29,마지막 선물은 산뜻한 안녕,-1
57,가렵지도 않아,0
58,내 뒤에 말들이 많아,1
59,무슨 말이 더 필요해,1
60,무시 마 내가 걸어온 커리어,1
61,더 높이 가줄게,1
62,내가 바랐던 세계 젤 위에,1
63,떨어져도 돼,0
64,멋대로 정하네 나란 애에 대해,1
65,뜨거운 관심은 환영,1
66,내 미랠 쓸 나의 노래,1
76,너도 말해줄래,-1
77,누가 내게 뭐라든,1
78,남들과는 달라 넌,0
79,날 믿어봐 한번,1
80,재미없어 어쩌지,-1
81,내 지난날들은,1
82,눈 뜨면 잊는 꿈,1
83,눈을 감아,1
84,잠에 들려고 잠에 들려 해도,1
85,봐봐 여기 내 이름 써있다고,1
93,니가 나의 모든 걸 뺏어갔어도,1
94,모두가 내 꿈에 바리케이드를 쳐도,-1
95,내가 나의 기름 더 불을 붙여줘,1
99,난생처음 섰던 무대엔,0
100,낯선 얼굴 쟤 누군데?,-1
101,마이크 잡은 후엔 함,0
102,더 묻대 쟤 누구래?,0
103,끝내고 내려오는 기분이,-1
104,이걸 하는 가장 큰 이유 중에,0
105,하나 앉아서 잘 봐,1
106,서있어 무대 알아봐라 그러니,0
107,날 부르니 또 오르지,1
108,"내 걸음이 밑 거름이,",1
109,좋은 버릇이 든,-1
110,어린이는 돼 어른이 아닌,-1
111,얼음을 목에 걸은 애,0
112,이빨을 드러낼 때야 씩,-1
113,반짝 허리에 감겨있는 벨트,1
114,감쪽같은 마술은 마법이네,-1
115,밤마다 반복해서 주문을 외워,-1
116,삶을 원하다면 죽음을 배워,-1
117,난 또 빛이 나는 길 위에,1
118,남겨져 흉터로 베여있어,-1
119,어렸을 땐 행복과는 제일 멀 던 놈,1
120,내게 친구 옆에 있어도,1
121,빈자린 언제나 괴롭혀,-1
122,그때의 난 어렸었네,1
123,무시에 짓눌렸기에,0
124,압박 속에 피어났네,-1
125,난 원해 맨 위,1
126,그대로 더 행진,1
127,난 원해 내일엔,1
128,더 재수 없는 놈이 되길 바라,-1
129,됐어 타이밍,1
130,이젠 내 형제들과 밟어,1
135,난 여기다 내 목을 걸었어,1
136,다시 예전으로 돌아갈 수 없어,0
137,힘들던 그땐 신이 미웠지만,0
138,이젠 신의 계획이 뭔지 알게 됐어,0
139,아팠던 기억들은 던져,0
140,친구 미안한데 이건 내가 먼저,-1
142,난 아직도 갈 길이 멀어,0
143,그렇기에 난,0
144,포기 안 할 거라 말했고,-1
145,넘어져도 일어나 계속,1
146,내 시작은 맨손,1
147,반찬 팔아가며,0
148,청춘 받쳐 날 키워준,1
149,값진 그녀의 행복,1
150,나 땜에 잠시 내려놨던 그 행복을,1
151,이 손자가 돌려줄게 꼭,1
152,난 내 놈들과 하나둘씩,1
153,이뤄가 점점 끝없이,-1
154,우린 절대 안 져 계속 보여주지,-1
155,절대 안 될 거 같던,-1
156,꿈들을 이뤄 난 여기 있지,0
157,아팠던 날 들을,1
158,저 뒤로 보내고 웃자고 원 없이,1
159,바란 대로 이뤄질 거,0
160,같은 말은 못 믿어,1
161,못 믿어 이제,1
163,난 간절히 바랐던,0
164,희망한테 배신당했거든,-1
165,근데 절망에 추락할 때도,-1
166,보여 날개를 폈던 당신의 모습,1
167,이제 내 날갯짓을 봐줘 (날 봐줘),1
168,내 아버지는 꿈꾸는 걸 멈추지,1
169,않았거든 마지막 통화를 끊고서,-1
170,그렇게 세상이 무너졌어,-1
171,나는 포기 안 해 아빨 너무 닮고,-1
172,끝까지 대가 받아내고 말 거야,-1
173,그 멀리서 나를 지켜 지켜보면 돼,1
174,그렇게 고통까지 외운 채,-1
175,잃을 것도 없어 잃은 것뿐,-1
176,난 다 채울래,-1
177,그래 난 더 나아가야 돼,1
178,날 보는 널 위해,1
179,멈출 수 없어 잃어버린 걸,-1
180,되찾을 거야 비록,0
185,어릴 때 난 어렸지,0
186,넌 기회를 또 놓쳐버렸지,0
187,난 또 목숨을 걸었지,-1
188,매 순간이 난 버저비터,1
189,빛이 나니까 좀 꺼져있어,1
190,내가 먹고 나면 너희는 설거지,-1
191,여전히 카니발 바뀐 건 회사,0
192,똑같이 하고픈 걸로 난 해 밥값 아니,1
193,해 차 값 아니 해 집값 아니,1
194,해 동생 밥 계산,1
195,키비형이 사주시면,0
196,스무 살이 이제 형이 되고 나니까,1
197,움직여 바삐,-1
198,방해물은 다 까버려,-1
199,당신 내 삶을 살아줄 거 아니면,1
204,있는 그대로의 나를 받아줘,1
205,아직 완벽하지는 않아도,1
206,내일은 당연한 게 아니라서,1
207,지금 아빠가 곁에 없더라도,1
208,눈물 닦고 어깨 펴고 다녀,-1
209,항상 네 편이란 걸 잊지 마,1
210,부모님은 당했지 인종차별,-1
211,얻은 것보다 잃은 게 많아서,-1
212,내 랩의 가치는 달라,1
213,다 해봤어 성공이랑 죽음 빼고 난,-1
214,승산은 나에게 없었잖아,1
215,밤마다 악마가 찾아와 하지만 난,-1
216,이제 겁나지 않아,1
221,말투는 멍청한 듯 몸매는 섹시 섹시요,-1
222,그럼 다이아 박힌 티아라 하나에,1
223,내가 퍽이나 웃게 퍽이나 웃게,1
224,뒤틀려버린 로렐라이,0
225,철학에 미친 독서광,-1
227,야유하는 관객들,-1
228,아 별빛이 깨져버린 밤,-1
229,꼴이 볼품없대도 망가진다 해도,-1
230,다신 사랑받지 못한대도,1
231,아리따운 날 입고 따따랏따라,1
233,실례합니다 여기 계신 모두,0
234,야한 작품을 기대하셨다면,-1
235,환불은 저쪽 대중은 흥미 없는 정보,1
236,그 팝콘을 던져도 덤덤,0
237,행복과 반비례 평점,1
238,편견은 토할 거 같지,-1
239,아 더 부끄러울 게 없는 밤,-1
240,꼴이 볼품없대도 어쩌면 네게도,-1
244,까고 말해,1
245,아리따운 나의 누드,1
246,아름다운 나의 누드,1
247,변태는 너야,-1
248,또 모르지 내 마음이,1
249,저 날씨처럼 바뀔지,1
250,날 나조차 다 알 수 없으니,1
251,그게 뭐가 중요하니,0
252,지금 네게 완전히,1
253,푹 빠졌단 게 중요한 거지,-1
254,아마 꿈만 같겠지만,0
255,분명 꿈이 아니야,0
256,달리 설명할 수 없는,0
257,이건 사랑일 거야,1
258,방금 내가 말한 감정,1
259,감히 의심하지 마,-1
260,그냥 좋다는 게 아냐,0
261,조심해 두 심장에 핀,1
262,새파란 이 불꽃이,1
263,저 태양보다 뜨거울 테니,-1
264,난 저 위로 또 아래로,-1
265,내 그래프는 폭이 커,1
266,두 번 세 번 피곤하게,0
267,자꾸 질문하지 마,0
268,내 장점이 뭔지 알아?,1
269,바로 솔직한 거야,1
273,아무도 막지 못해,-1
274,나를 보면 눈 깜빡할,1
275,시간 조차도 아까울 걸,-1
276,드디어 만나 반가워,1
277,기분이 째져,1
278,잘 되면 셀럽,1
279,못 되면 평생 리셀러,0
280,나는 새삥,1
281,모든 게 다 새삥,1
282,보세 옷을 걸쳐도,-1
283,헌 집 주고 새집,1
284,프리미엄이 붙어,0
286,유명세를 걷어,1
287,남의 멋만 쌔비지,1
288,난 취향을 감춰 그래,-1
289,내 세컨 카는 수수께끼,-1
290,넘볼 수 없는 임금,1
291,다시 ’코’시국,0
292,암만 영끌해도 근본은 절대 못 사,-1
293,뚜까 패고파,-1
302,아마 나는 오늘도,1
303,이유는 뻔하지 새로운 옷이,1
304,알어 니 위치는 겉만 하지 마,0
305,이제 여름이 오니까 준비해,1
306,내 목에다 채워질 아이스체인,1
307,우리 엄만 생일마다,1
308,새 가방이 생기지,1
309,신기록 갱신,1
310,우린 없어 배신,-1
311,나는 매일 새신,1
312,책임을 가진 삶은 생각보다 괴로워,0
313,내 옷은 새로워,1
314,난 운전할 때마다 맨 앞이라 외로워,0
315,내 옷들은 늘 새삥,1
316,아무도 못 말려 나란 바닥노무 쉐낀,-1
317,안전모를 썼던,0
326,나는 새삥 모든 게 다 새삥,1
327,내 맘이 보이지,1
328,한참을 쳐다봐,1
329,가까이 다가가,0
330,용기가 생겼지,1
331,이미 아는 네 눈치,1
332,고개를 돌려 천천히,0
334,여기 보이니,0
335,확실하게 나로 만들겠어,1
336,꿈에서 깨워주지 마,0
337,가끔은 정말,1
339,분명한 건,0
340,널 우연히 마주친 척할래,0
341,못 본 척 지나갈래,1
342,나와 나와 걸어가 줘,1
343,지금 돌아서면,0
344,널 보면 하트가 튀어나와,1
345,내 맘은 설레이지,1
353,네가 참 궁금해 그건 너도 마찬가지,-1
354,이거면 충분해 쫓고 쫓는 이런 놀이,1
355,참을 수 없는 이끌림과 호기심,1
356,묘한 너와 나 두고 보면 알겠지,-1
357,난 그 맘을 좀 봐야겠어,1
358,서로를 비춘 밤,-1
359,아름다운 까만 눈빛 더 빠져 깊이,1
360,(넌 내게로 난 네게로),1
361,마음은 이렇게 알다가도 모르지,1
362,사랑이라는 건 한순간에 필 테니,1
363,직접 들어와 두 눈으로 확인해,1
364,내 맘 가장 깊은 데로 오면 돼,1
365,원하면 감히 뛰어들어,0
370,الأ هو لا دان,0
385,다 잊었다는 거짓말,-1
386,또 해 버렸죠,1
387,내 마음에 그대란 사람,1
388,없다고 했죠,0
389,너무나 쉽게 잊혀졌다고,-1
390,이젠 남이라고,0
391,서툰 내 사랑에 지쳐 떠난 그대,1
392,너무 많이 울려서,-1
393,잡을 용기조차 낼 수 없었죠,1
394,미안해요 내 사랑아,-1
395,다신 나 같은 사람 만나지 마요,1
396,혹시 찾아가도 두 번 다시,0
397,나를 허락해 주지 마요,1
398,그댄 여리고 너무 착해서,-1
399,싫단 말도 잘 못하는데,0
400,많이 부족한 나를 사랑한 그대,-1
401,이거면 됐어요 더 이상은,0
402,그대 불행하지 않도록,1
403,나 이쯤에서 없어지는 게,1
404,그댈 위한 나의 사랑인 걸요,1
405,너무 투명해서 때론 불안했죠,-1
406,제멋대로 살아온 나를,1
407,감당할 수 없을 것 같죠,0
414,고마웠어요 나를 사랑해 줘서,1
415,나 같은 사람이 두 번 다시,1
416,감히 받을 수 없는 사랑,1
417,그대 때문에 행복했어요,1
418,울지 마요 그대,-1
419,잘 생각해 봐요,1
420,나쁜 일들만 가득했던 우리,1
421,다 잊어야 해요,1
428,이거면 됐어요,0
429,더 이상은 그대 불행하지 않도록,1
432,유엔빌리지에서 한강진역,0
433,이태원을 지나왔어 언덕길로,1
434,클랙슨은 목이 쉬어 퇴근길마다 삐걱삐걱,1
435,그게 자그마치 2년,0
436,입에 단내가 나 미칠 지경,1
437,작업실로 당당하게 내비 찍어,1
438,그러니까 너넨 히비히비합 질러 빽빽,-1
439,그러니까 너넨 히비히비합 질러 땍땍,-1
440,따라 해 어때 생각보다 쉽지,1
441,서울숲에서부터 근방 직경,-1
442,사진 소리 찰칵찰칵 가는 길마다 찍어 찍어,0
443,보험마저 없는 내 미래 비전,1
444,그러니까 너넨 히비히비합 질러 빽빽 (빽빽),-1
445,그러니까 너넨 히비히비합 질러 땍땍 (땍땍),-1
447,컴백이 아냐 떠난 적 없으니까,0
448,고개들이 돌아 진정해 목 꺾일라,1
449,게임이 아냐 진 적이 없으니까,0
450,짖어봐 네 목에 목줄은 내 거니까,1
451,네 다음 답안지야 똑바로 봐,1
452,난 가장 높은 곳에서,0
453,아슬하게 아찔하게,-1
454,두 손을 펼쳐,1
455,망설이지 마 뭐 어때,0
456,리듬에 맡겨 느낀 그대로,1
457,나조차도 어림잡지 못해,1
458,홀린 듯 몸을 맡겨,0
459,이 끌림이 싫진 않잖아,0
460,그치? 나를 따라 너를 던져봐,-1
464,춤춰봐 더 자유롭게 미쳐봐,1
465,왔어 우리에게 너무 좋은 날이,-1
466,네가 원했던 이 순간이,1
467,움츠렸던 마음을 녹여,-1
468,어제의 너를 잊어,-1
470,끝까지 손을 뻗어,-1
471,기세 마치 폭포,1
472,관중들의 눈이 반짝해,1
473,에서부터 딱,0
474,차려진 식사,0
475,허나 안 성급해,1
476,성공이 쇄도해,1
477,빈 공간에,-1
478,시작은 골방이었지만,-1
479,절대 안 해 덤벙,-1
480,과거는 컴컴해도,-1
481,미랜 번쩍해,1
482,딱딱해져 가지,1
483,더 내 빡빡머리,1
484,벌써 나인 곧 30,1
485,이제 전성기의 나이,1
486,나잇값 하지 난,1
487,쉽게 올라타,0
488,손흥민이 형처럼,1
489,함성 소리가 날 덮쳐,1
490,기회가 왔어,0
491,그래 닿으려 해 대기권,1
492,난 바닥으로 떨어진 적이 없지,0
493,"1, 2등 말고는 재미없어",-1
494,패배도 있었기에 더욱더,-1
495,단단해지는 법 배운 거지,-1
496,다른 말 안 해 지금,1
497,이기는 거에만 다 쏟아,0
498,팀 그릴즈 각자 자리로,0
499,여기저기 다 있어 계속해,1
500,트랩 붐뱁 드릴 상관없이 다 뱉어,0
501,유행 같은 건 타지 않아 내 거는,1
502,봄 여름 가을 겨울 싹 다 제철,-1
503,올라갈라니 너무 높아 어떡해,-1
504,(우린 안 떨어져 절대),-1
505,못 돼 겁쟁이,-1
506,언제나 멋대로 했더니,1
507,랩 머니가 내 눈앞에,1
508,다 이루기 위해서 목표,1
509,내 생각 일단 펼쳐놓고 점쳐,1
510,단 한 번만 봐도,0
511,내 눈에는 딱 답 나오지,1
512,올라가 난 위,0
513,난 매일 바래왔지 꼭대기,1
514,이건 우릴 위하여,0
515,더 위 위,0
519,더 위 위 위,0
520,실패 절대 두렵지 않아,-1
521,넘어져도 포기 따윈 안혀,-1
522,앞에 날 막는 장애물이 있더라도,1
523,멈칫하지 않어,0
524,깊게 숨을 들이마신 후,1
525,이륙 준비 후에 날어,1
526,결국 트로피를 거머쥐고 나서,1
527,기회를 바로 잡어,0
528,내가 꿈꿔 왔던 거 눈을 감으니,1
529,들리지 함성 소리,1
530,누가 뭐라든 오직 내 목표는 하나,1
531,난 황소고집,-1
532,플리키뱅 칠린호미,0
533,노윤하 블라세 키츠요지,0
534,우리 팀은 국가대표 너네 팀들은,-1
535,귀여워 마치 슛돌이,1
536,너랑 나랑 몸싸움을 한다면,-1
537,보내버려 멀리,1
538,너가 만약 내 팀을 건든다면,-1
540,귓가엔 이젠 이명,0
541,대신 울려 승리의 나팔소리,-1
542,둘 셋 넷 다섯 훈련해,1
543,굴렀지 매일 밤,-1
544,처박아 맨땅에,0
545,어차피 모 아님 도,0
546,내가 못할 게 뭐 있어,1
547,고생 다음에는 빛이,-1
549,난 포기했고 왔어 여기에 다시,-1
550,보였어 드디어 성공이 앞에,1
559,안 멈추지 있어도 그 스톱사인,0
560,한국 남자 래퍼들 다 미녀,0
561,걔가 뭐라 하든 나는 위너,-1
562,"내 인생은 천만 관람 무비,",1
563,너는 그냥 유튜브에 있는 클립,-1
564,안 받아 난 졸림,-1
565,이젠 다 소리쳐,0
566,난 귀신같이 갑자기 튀어나왔어,-1
567,걔네들 거짓말 치는 거,-1
568,딱 보니까 전부 다 들렸어 사탄,-1
569,내 맛은 넘 매워 불닭이,1
577,더 위 위 위 위,0
578,팝콘이나 챙겨 껴들 생각 말고,1
579,내 손끝 툭 하나에 다 무너지는 중,-1
580,가짜 쇼 치곤 화려했지,-1
581,자 오늘 밤이야 난 독을 품은 꽃,-1
582,네 혼을 빼앗은 다음,-1
585,내 나이는 20,1
586,하고도 플러스 2지,0
587,주위 친구들은 일찍,1
588,말도 안 돼 거짓말,-1
589,내게 하지 마,1
590,티는 안 냈지만 짜증 나,-1
591,사실 난 속 좁아서 다 빈말이야,-1
592,그릇이 넓지 못한가 봐,1
593,주위 사람의 성공이 배 아파,-1
594,매일 밤 열심히 하는 게 아마,-1
595,뒤떨어질까 봐 일지 몰라,0
596,담배 한 대 피우고 한숨을 내뱉어,-1
597,내가 난데 왜 이래,1
598,이러지 않았는데 나,1
600,사실 잘 될 줄 난 몰랐는데,1
602,그래 다음에 시간 될 때 봐,0
603,축하는 하지만 안 불러줄래 네 노랜,1
604,어쩔 수 없어 내가 어른이 되길 먼저,-1
605,“노래하지 마 발성부터 글렀다고,1
606,너 래퍼라면서 왜 이리 뚝딱거려,-1
607,그건 그렇다 쳐 지금 얼굴 갖고,0
608,티비에 나온다니 정말 클났어”,1
609,신인 팀들 투정해 대기실이 비좁대,-1
610,우린 부럽기만 한데,0
611,내 폴더 인사를 쌩깠던 선배 기억해,1
612,오래 못 가서 나락 갔지,-1
613,월등함이면 몰라,1
614,열등감은 빠져 모양,-1
615,남 좋은 일 하는 거니까,1
616,못 믿겠음 직접 지켜봐,1
623,모두가 너무 다 커 보여,-1
624,네 자랑은 이제 안 부러워,1
625,라고 말하며 귀는 또 쫑긋 서,0
626,이제 내 차례야 라고 말하며 헛기침,-1
627,거울을 보며 내게 물어,-1
634,그녀와 나는요 그땐 참 어렸어요,1
635,많이 사랑했고 때론 많이 다퉜었죠,1
636,지금 생각하면 모두 내 잘못이죠,1
637,마지막 그날도 그녀는 울었어,-1
638,나는 그녈 잡지 못했죠,1
639,지금까지도 너무 후회가 돼요,-1
640,그 후로 누굴 사랑한 적 없어 아직은,1
641,그녀와 나는요,1
642,언젠가 만날 거죠,1
643,변해버린 모습 변해버린 시간 속에,1
644,하지만 괜찮아 내 눈엔 아름답던,1
645,예전 모습 그대로 일 거예요,1
646,그녀도 날 못 잊을 거야 나는 믿어요,1
647,그만큼 사랑했죠,1
648,그래서 우린 한 번은 만나야만 해요,1
649,그녀의 친구라도 이 노랠 듣는다면,1
650,그녀에게 전해줘요,1
651,내가 아직 사랑한다고,1
652,우리가 처음 만난 그 시간 그 자리에,1
653,내가 매일 기다린다고,1
669,1 2 3 4 5 6 7 8 9 10,0
670,더도 말고 덜도 말고 딱 그 정도만,1
671,한번 해보자,1
672,우리 멀어져 보자,1
673,딱 반 발자국만,0
677,자세히 보아야 예쁘다,1
678,오래 보아야 사랑스럽다,-1
679,참 좋아하던 말이었는데 글쎄,-1
680,아무거나 눌러보다가,-1
681,한발자국 뒤에서,0
682,보면 보이지 않던 아름다움이,1
683,보인다는 말에,0
684,집에 가는 길에,0
685,액정 밖의 화면을 봤네,1
686,맨날 본 똑같은 거리들이,1
687,오늘따라 이상하게 예뻐 보이는 게,1
688,싫은 것도 싫지 않아야 어른이 되지,-1
689,우리 조금만 반 발자국만,1
690,한 발자국만 아님 반 발자국만,0
691,멀어져 볼까,1
700,꽃을 보았다 예뻤다,1
701,자세히 보려고 꺾었다,1
702,참 좋아하던 향이었는데 글쎄,-1
703,이제는 한 두번 누르는 향수처럼,0
704,쉽게 피고 아쉽게 지는,0
705,자세히 안 봐도 오래 안 봐도,-1
706,이 거리를 가득 채우는,0
707,꽃들도 있더라고,1
708,삐거덕 거리는,-1
709,빈 수레바퀴는,-1
710,쉼과 의심 그 사이 어딘가로 더,-1
712,일찍이 이미 희미해 져버린,-1
713,우리의 길 위 의미는 헤져버린,1
714,목적지에 적힌 음표와 같아서,0
730,눈물이 난다 이 길을 걸으면,-1
731,그 사람 손길이 자꾸 생각이 난다,1
732,붙잡지 못하고 가슴만 떨었지,1
733,내 아름답던 사람아,1
734,사랑이란 게 참 쓰린 거더라,1
735,잡으려 할수록 더 멀어지더라,0
736,이별이란 게 참 쉬운 거더라,-1
737,내 잊지 못할 사람아,1
738,사랑아 왜 도망가,1
739,수줍은 아이처럼,1
740,행여 놓아버릴까 봐,0
741,꼭 움켜쥐지만,0
742,그리움이 쫓아 사랑은 늘 도망가,-1
743,잠시 쉬어가면 좋을 텐데,-1
744,바람이 분다 옷깃을 세워도,1
745,차가운 이별의 눈물이 차올라,-1
746,잊지 못해서 가슴에 사무친,1
747,내 소중했던 사람아,1
754,기다림도 애태움도 다 버려야 하는데,-1
755,무얼 찾아 이 길을 서성일까,0
756,무얼 찾아 여기 있나,1
764,잘 지냈지? 조금은 어색해 요즘 좋아 보여 인사 나누며,-1
765,사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠,-1
766,생각보다 오래 된 것 같은 우리 수다스럽던 그때가 생각나,-1
767,뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠,-1
768,그리운 목소리 그리던 얼굴 참 많이도 기다렸어,1
769,다시 만나자는 너의 한마디에 울컥 눈물이 나,-1
770,결국 너였단 걸,-1
772,기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼,-1
773,서로를 알아보고 그렇게 눈앞에 서있죠,1
774,우리 사랑했던 우리 다시 만나 그때 그 순간 그대로,1
775,사랑했고 사랑할 거니까,1
776,같이 듣던 노래 그때 그 거리를 이제 혼자 아닌 너와 둘이 걸어,-1
777,다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠,1
778,그리운 만남을 그리던 날들 참 많이도 기다렸어,1
779,다시 너를 만나 더욱 더 소중해 같은 마음이란 걸,-1
785,처음 느낌 그대로 설렘이 가득한 날,1
786,고마워 다시 돌아와줘서,1
787,그때 그 순간처럼 날,1
789,결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼,-1
793,뭘 그리 찡그려 너,-1
794,사랑 그깟 거 따위 내 몸에 상처 하나도 어림없지,-1
795,너의 썩은 내 나는 향수나 뿌릴 바엔,-1
796,사랑 그깟 거 따위 내 눈에 눈물 한 방울 어림없지,-1
797,너의 하찮은 말에 미소나 지을 바엔,-1
798,너와 함께 하고 싶은 일들을,-1
799,상상하는 게,1
800,요즘 내 일상이 되고,1
801,너의 즐거워하는 모습을 보고 있으면,-1
802,자연스레 따라 웃고 있는 걸,0
803,너의 행동에 설레어하고 뒤척이다가,-1
804,지새운 밤이 많아지는데,-1
805,이건 누가 봐도 사랑일 텐데,1
806,종일 함께면 질릴 텐데,0
807,나 돌아서도 온통 너인 건,-1
808,아무래도 사랑인가 봐,-1
809,점점 너와 하고 싶은 일들 생각하면서,-1
810,하룰 보낸 날이 많아지는데,1
815,너의 행복해하는 모습을 보고 있으면,-1
816,나도 모르게 따라 웃는데,1
817,이 정도면 알아줄 만하잖아,1
818,너도 용기 낼만 하잖아,-1
819,나만 이런 게 아니라면,1
820,우리 만나볼 만하잖아,1
822,사랑이었다 별거 없던 내 하루에,1
823,빛이 돼준 단한 사람,1
824,나보다 나를 더 아껴 주던 너를,-1
825,그땐 왜 몰랐을까,0
826,행복이었다 다시는 없을 것 같던,1
827,잠시나마 행복했었다,1
828,다른 사람 곁에 있는 널,1
829,생각해 본 적 없지만,1
830,이젠 너를 보내줘야 할 것 같아,-1
831,내가 아니라도,1
832,눈부시게 사랑받았을 너라서,-1
833,그 소중한 시간을 나와 함께해 줘서,1
835,예쁘고 아름다웠던 너의 그날에,-1
